code;libelle;category;description;keywords;use_cases;operations_read;operations_write;enrichment_score;active
academic-searcher;MCP - Academic Searcher;recherche;MCP - Academic Searcher;;;;;0;True
alert-anomaly-detected;ALERT - Anomaly Detected;ai;Polls Redis Stream for reconciliation.anomaly events;;;;;0;True
analyze-feedback;MCP - Feedback Analyzer;ai;MCP - Feedback Analyzer;;;;;0;True
analyze-message;MCP - Analyze Message;ai;MCP - Analyze Message;;;;;0;True
books-commentary-worker;Books Commentary Worker;traduction;Books Commentary Worker;;;;;0;True
books-translate;Books Translation Manager;traduction;Books Translation Manager;;;;;0;True
books-translate-commentaries;Books Translate Commentaries;traduction;Books Translate Commentaries;;;;;0;True
books-translation-worker;Books Translation Worker;traduction;Books Translation Worker;;;;;0;True
bulk-url-processor;MCP - Bulk URL Processor;recherche;MCP - Bulk URL Processor;;;;;0;True
cart-add;SHOPPING---Cart-Add;autre;SHOPPING---Cart-Add;;;;;0;True
cart-apply-coupon;SHOPPING---Cart-Apply-Coupon;finance;SHOPPING---Cart-Apply-Coupon;;;;;0;True
cart-checkout;SHOPPING---Cart-Checkout;finance;SHOPPING---Cart-Checkout;;;;;0;True
cart-checkout-cancel;SHOPPING---Cart-Checkout-Cancel;finance;SHOPPING---Cart-Checkout-Cancel;;;;;0;True
cart-checkout-success;SHOPPING---Cart-Checkout-Success;finance;SHOPPING---Cart-Checkout-Success;;;;;0;True
cart-clear;SHOPPING---Cart-Clear;autre;SHOPPING---Cart-Clear;;;;;0;True
cart-get;SHOPPING---Cart-Get;database;SHOPPING---Cart-Get;;;;;0;True
cart-remove;SHOPPING---Cart-Remove;autre;SHOPPING---Cart-Remove;;;;;0;True
cart-remove-coupon;SHOPPING---Cart-Remove-Coupon;autre;SHOPPING---Cart-Remove-Coupon;;;;;0;True
cart-update;SHOPPING---Cart-Update;database;SHOPPING---Cart-Update;;;;;0;True
category-detect;Category Detect;ai;Category Detect;;;;;0;True
chart-generator;MCP - Chart Generator;media;MCP - Chart Generator;;;;;0;True
code-generator;MCP - Code Generator;ai;MCP - Code Generator;;;;;0;True
config/branding;CONFIG---On-Branding-Update;database;CONFIG---On-Branding-Update;;;;;0;True
config/help;CONFIG---On-Help-Update;autre;CONFIG---On-Help-Update;;;;;0;True
config/help/reset;CONFIG---Help-Reset;autre;CONFIG---Help-Reset;;;;;0;True
cost-calculator;MCP - Cost Calculator;ai;MCP - Cost Calculator;;;;;0;True
credits-check;Credits Check;finance;Credits Check;;;;;0;True
credits-debit;Credits Debit;finance;Credits Debit;;;;;0;True
credits-get;Credits - Get;finance;Credits - Get;;;;;0;True
credits-refund;Credits Refund;finance;Credits Refund;;;;;0;True
csv-processor;MCP - CSV Processor;documents;MCP - CSV Processor;;;;;0;True
data-lookup-enrich;Data Lookup Enrich;database;Data Lookup Enrich;;;;;0;True
discord-billing-portal;DISCORD - Billing Portal;finance;Cree une session Stripe Billing Portal pour gerer l'abonnement.;;;;;0;True
discord-get-balance;DISCORD - Get Balance;communication;DISCORD - Get Balance;;;;;0;True
discord-get-credits;DISCORD - Get Credits;communication;DISCORD - Get Credits;;;;;0;True
discord-get-plans;DISCORD - Get Plans;finance;DISCORD - Get Plans;;;;;0;True
discord-get-subscriber;DISCORD - Get Subscriber;communication;DISCORD - Get Subscriber;;;;;0;True
discord-get-transactions;DISCORD - Get Transactions;database;DISCORD - Get Transactions;;;;;0;True
discord-subscribe;DISCORD - Subscribe;finance;Cree une session Stripe Checkout pour un abonnement.;;;;;0;True
document-cancel;Document Cancel;documents;Document Cancel;;;;;0;True
document-structure-extract;Document Structure Extract;ai;Document Structure Extract;;;;;0;True
document-translate-worker;Document Translate Worker;traduction;Document Translate Worker;;;;;0;True
documents/estimate;MCP - Documents Estimate;documents;MCP - Documents Estimate;;;;;0;True
